username,age,occupation,status,gender,filtered sentence,Language,y,translated_occupation,status_lem,translated_occupation_lem,translated_occupation_category
Kilo,38.0,Welder,single,male,Am earth guy l love time looking missing rib,de,0,welder,single,welder,construction
Kimberly001,33.0,Nurse,single,female,I love life I love living life I enjoy outdoors traveling restaurants laughing going cultural events socializing quality people It better living sharing life someone else,fr,0,nurse,single,nurse,medical
KingC09,31.0,Construction,in relationship,male,Good looking fun guy looking meet new people fun,en,0,construction,in relationship,construction,construction
kingsaturn,47.0,marketing,single,male,We made body mind spirit need take care three order keep balance life We usually forget soul take care mind body therefore I try meditate much possible since souls take care spiritual progress first place But beside meditating I enjoy gardening watching good movie spending time friends go walk etc I looking someone pure soul big heart Someone understands life given us special purpose shouldnt waste,da,0,marketing,single,marketing,office
kiwibird,47.0,IT,separated,male,Honest man looking nice girl get know knows happens I simple person taking life easily funny romantic straight thinker troubles free easy going easy talk,id,0,it,separated,it,tech
Kmchal42,45.0,Self employed,single,female,Honest girl ready love deeply respect partner,en,0,self employed,single,self employed,self employed
Knowledge18,45.0,Freelancer,single,male,Im spiritualthere thing energyIm 6ft3 185 Im hot like heat waves coming pavementnothing like beautiful woman spend time petite plus hard find u,nl,0,freelancer,single,freelancer,self employed
kpgold19,66.0,retired,widowed,female,I real cool kind honest loving caring I love meet people walks life,da,0,retired,widowed,retired,retired
Krishna2211,47.0,Teacher,single,male,I fun loving easygoing kind loving I would like find someone share dreams aspirations It much fun someone share special moments,de,0,teacher,single,teacher,education
Krissy626,24.0,Nurse,single,female,I love southern land There nothing I love honest,fr,0,nurse,single,nurse,medical
Kristi_8372,39.0,Caregiver,separated,female,Im good person alot shit life wanting find good man life,it,0,caregiver,separated,caregiver,medical
Krizzel,41.0,Student,separated,female,Serious funny adventurous,de,0,student,separated,student,education
Kyraselene,48.0,Self employed,single,female,Happy adventurous Traveller looking Soulmate fun adventures,en,0,self employed,single,self employed,self employed
Labixa,64.0,Bus Driver,separated,male,I filipino separated 15 years working Malta Bus driver Im seeking norwegian woman marry,de,0,bus driver,separated,bus driver,transport
LaCoqui,43.0,Administration,single,female,Shy reserved I feel comfortable someone I silly adventurous love traveling open trying new things love different cultures eating different foods,en,0,administration,single,administration,office
Lailafy,40.0,Admin,single,female,Im looking honest man knows truth means I like romantic night,pt,0,admin,single,admin,office
Lara92,30.0,Student,single,female,I LOVE men German British nationality lets talk,de,0,student,single,student,education
Lauraaaaaaa,43.0,Teaching,divorced,female,Hi Here I My name Laura I person beautiful personality experience life humor I appreciate true values lifeI would like talk serious people siteLife short lose time,en,0,teaching,divorced,teaching,education
Lawson3524,41.0,Mechanic,divorced,male,Im looking someone wants meet person ASAP,de,0,mechanic,divorced,mechanic,engineer
Lazzie24,61.0,Horticulturist,divorced,male,Unique fun loving Christian cooking curries traveling,ro,0,horticulturist,divorced,horticulturist,construction
Lexusmgr,77.0,Retired,widowed,male,Im grown man Im looking long term relationship long distance relationship Im highly educated appreciate brains beauty,en,0,retired,widowed,retired,retired
Lilly27,29.0,Cook,in relationship,female,Im miserable relationship says cant handle moody ways Im ready meet new people move I sacrificed much hear harsh words,nl,0,cook,in relationship,cook,service
Lionheart77,62.0,Business owner,separated,male,Im born bred Londoner I ex British Army I plenty interesting stories experiences share,en,0,business owner,separated,business owner,self employed
live4funusa,70.0,consultant,separated,male,intelligent funny passionate compassionate friendly traveler cook,it,0,consultant,separated,consultant,office
ljubec70,52.0,self employed,married,male,I live partnership 20 years important wife In last years erotic minimized We jealous I interested one night stands relationship tenderness body soul longlasting interchange levels,en,0,self employed,married,self employed,self employed
LLOY12,46.0,Finance,single,female,HI ALL I enjoy meeting new people around world I love traveling sports metal concerts football running cooking food Anything want know drop line,it,0,finance,single,finance,finance
lolxelisabeth,32.0,Business,single,female,I outgoing person I quite open willing try new things My favorite times I spent lively company enjoyed funny conversations enjoyed beautiful view silence,de,0,business,single,business,self employed
Lomemk,51.0,Teacher,separated,female,I break stereotypes Boba barbecue opera rap,de,0,teacher,separated,teacher,education
lonelynow75,47.0,Laborer,single,male,Laid back hard working family oriented Looking woman spend time similar hobbies values Want know ask I open dead honest,es,0,laborer,single,laborer,construction
LonelyWoman,29.0,Disabled,single,male,Hi Im Hannah Im Transgender woman pre surgery Ive started Hrt Ive never anyone inexperienced I I get gun shy real life Im terrified rejection,tl,0,disabled,single,disabled,unemployed
Longsnoopy56,58.0,Dietary aide,single,male,Im honest faithful respectful loyal earth fun real gentleman know treat good woman,af,0,dietary aide,single,dietary aide,medical
lordmt88,34.0,Technician,single,male,Im Italian guy 33 years old living Malta since 3 years Good life hard worker loyalty romantic person Right Im seeking long term relationship cause past knows future,en,0,technician,single,technician,engineer
lorrene,37.0,Artist,single,female,Love read cook,de,0,artist,single,artist,art
loufern,53.0,Finance,divorced,male,I divorced single kids living I spent formative years Europe moved USA I kinda new area As whole I pretty easygoing serious important things life Finding balance key Family important friends etc Love people family great sports lover gym rat mouse anything I keep fit active eg walking hiking tennis swimming chill Got sense humor ie sarcastic times But mainly dry sense nonetheless Hmm physical mental emotional health good Love outdoors staying active love 2 travel enjoy arts stay tooI looking make life complete whole etc I looking great friend partner someone wants share life vice versa To enjoy journey together make special memories bind two hearts souls Anything else Doggone need Just ask Oh BTW divorced shadow great memories wonderful dreams joy life keep company Looking 4 The lady I wanting share life spend time must honest loyal great sense humor romantic You smart adventurous love 2 travel equally happy staying home drama free able balance blended family needs You value relationship recognize import family friendships A relationship love kindness mutual respect live thrive spontaneous conversation comes easy appreciation others individuality As first rodeo baggage I buried mine I dammed try make appearance every However post office forwarding address So please SINGLE drama free We compliment balance sensitive others needs even wants desires masquerade needs ie romance LOL Be best friend lets share lives together The rest follow Well thats gist,it,0,finance,divorced,finance,finance
LouFirstCardsForever,55.0,Management,divorced,male,I like cook dinner watch movies fun things dates make love cry laugh great conversations I hopeful I find companionship friendship passion love respect adventure fun someone life including joys pains I gentleman kind patient understanding,nl,0,management,divorced,management,manager
Louise1,61.0,CNA,widowed,female,I GOD fearing woman I try walk ways Him I would describe sensitive intelligent able communicate emotional level I honest unpretentious drawn simple pleasures I happy person take seriously I compassionate loving free spirited I love daughter highlight life I looking sincere man love GOD likes laugh want share life together,en,0,cna,widowed,cna,others
Lourdes0022,24.0,Student,single,female,I know name hard pronounce I go Lou well Im tourism management student work interpreter Love adventures traveling Im always crazy idea,de,0,student,single,student,education
Love2BLoved,48.0,Cook,single,male,Im easy simple man laidback easygoing selfconfident hardworking loving kind sweet joyful happy Christian dedicated devoting compassionate romantic open minded adventurous spontaneous enjoy hiking swimming jogging staying Physically Active history museums arts crafts car shows concerts camping bonfires kayak canoeing river rafting public intimacy long walks Beach holding hands I love poetry singing dancing karaoke zoo traveling gardening reading good book I love colors I enjoy listening classic rock pop rock soft rock alternative rock hard rock easy listening reggae smooth jazz Latina music RB soul funk disco rock roll country hip hop,nl,0,cook,single,cook,service
LovefromAmerica,47.0,IT,single,male,Desperately seeking person Im hopeless romantic wants find quiet place enjoy life amazing woman Feel free ask anything,id,0,it,single,it,tech
lovesweet,61.0,retired,divorced,female,good lady looking good life I make one laugh happy I fun loving want good man love I,da,0,retired,divorced,retired,retired
Lovu250,69.0,Retired,separated,male,I 65 years old 5 11 185 lbs I Chinese American served US military I retired I three kids finished college masters degree doctoral degree My Son Medical Doctor degree Doctor Medicine I used teach college physics calculus electronics My wife left memoved 7 years ago live girlfriend That nutshell As see I value education family life As future I believe God provide direct His ways I religious person I believe Jesus ashame tell I one His Children You talk God I befriend anyone Age number True love worry rich poor Outer appearance changed overnight Only beauty inside eternal All others meaningless Continue keep beauty inside,tr,0,retired,separated,retired,retired
LSGusa,52.0,retired,single,male,BLAH BLAH BLAH This every one tries either dazzle us brilliance baffle us Bullshit either way really know someone write Maybe get know try say mean say least try best keep mind I think falls rule unto others would unto basic common sense human courtesy,da,0,retired,single,retired,retired
luarer,34.0,CONTADOR,single,male,SOY UNA PERSON A TRANQUILA QUE BUSCA A ESA PERSONA QUE LE ACOMPAÑE A VIVIR Y QUE ME AYUDE A PROGRESAR QUE NOS APOYEMOS SEAMOS AMIGOS Y COMPAÑEROS,en,0,contador,single,contador,finance
luckyduck123,25.0,student,single,male,love workout tons watch movies,nl,0,student,single,student,education
luigui2021,32.0,student,single,male,Website developer baby steps python engineering Searching ideas live,nl,0,student,single,student,education
Luis777jlaub,33.0,Ninguna,single,male,Quiero amar una chica güera I want love blond woman,tl,0,none,single,none,others
luisdelamora1,44.0,arquitecto,single,male,im gentleman sincere loyal fun caring Im artistso im sensitive,fr,0,architect,single,architect,construction
Luistroy,42.0,Construction,single,male,Im 56 weigh 140 black hair brown eyes slim looking open minded woman,en,0,construction,single,construction,construction
Lynndamron34,36.0,Unemployed,single,female,Im funny easy going u piss Im crazy,en,0,unemployed,single,unemployed,self employed
Lyrra,52.0,Self employed,separated,female,Im simples person positive outlook life,en,0,self employed,separated,self employed,self employed
Macadoo,62.0,retired,married,male,Love outdoor animals playing golf,da,0,retired,married,retired,retired
Maikkel,45.0,Banca,single,male,I worker man responsible honest I like practice sports books cinema travel,id,0,bank,single,bank,finance
Makki,41.0,Tourist Guide,divorced,female,Im Latina Peru living Madrid Only want find love life share everything,fr,0,tourist guide,divorced,tourist guide,service
Maltalgirl629,72.0,Retired,divorced,female,Retired divorce Have three pets cat two small dogs,da,0,retired,divorced,retired,retired
MANDRAKE,54.0,Engineer,separated,male,Im looking special girl share libra realize dreams,af,0,engineer,separated,engineer,engineer
Mannny7,45.0,Project manager,separated,male,I like ther outdoors enjoy staying indoors aswell Looking someone knows want,hr,0,project manager,separated,project manager,manager
Mara2021,44.0,Self employed,divorced,female,Single hard working looking half part someone honest faith good comunication respectful Have gols life want start relationship leading marriage,en,0,self employed,divorced,self employed,self employed
Marcele,56.0,Admin,divorced,female,Fun lovingoutdoorslong walks beach date nights,pt,0,admin,divorced,admin,office
Marcelo1975,46.0,Engineer,divorced,male,I looking kind simple affectionate woman wants share life caring serious hardworking adventurous man I would like start love life someone really wants enjoy pleasures life couple,af,0,engineer,divorced,engineer,engineer
Marg1503,48.0,Unemployed,divorced,female,Loving caring lady hoping find soulmate,en,0,unemployed,divorced,unemployed,self employed
Margott,26.0,Driver,single,female,My friends consider affectionate kind loving person I like outdoors nature dancing swimming ocean going movies live music,no,0,driver,single,driver,transport
Maria657,65.0,Retired,single,female,Caring loving romantic funny educated,tr,0,retired,single,retired,retired
Mariane1967,55.0,Profesora,divorced,female,I young Latin American I want international friends especially france If think friends I wait response,en,0,profesora,divorced,profesora,education
Mariel77,45.0,Teacher,single,female,Im positive creative woman I love nature hiking,de,0,teacher,single,teacher,education
Marilot,59.0,Marketing,divorced,female,I speak English Spanish looking somebody funny gentleman nice person live life walk world next,id,0,marketing,divorced,marketing,office
Marine6,55.0,Engineer,single,male,Single make kids looking travel special someone,af,0,engineer,single,engineer,engineer
Marstillo82,40.0,Laborer,single,male,Theres much Not perfect one And experience life lessons Im ready live life,es,0,laborer,single,laborer,construction
MARYBEL,41.0,DOCENTE,single,female,CHICA RISUEÑA TRABAJADORA SOLIDARIA Y CON MUCHOS VALORES,de,0,teacher,single,teacher,education
Mattt001,46.0,businessman,in relationship,male,Looking person talk spend time Someone tuned spending nice moments right mood,en,0,businessman,in relationship,businessman,self employed
mauricioantionio,44.0,Técnico en Sistemas,single,male,Es dificil describirse pero podria decir que soy una persona que trata siempre de hacer el bien honesto un poco loco juguetoncariñoso encantan las peliculas de todo tipo desde un aclamada indie hasta una de avengers jajaja Me encanta la musica cantar son mi pasion aparet de la tecnoligia todo lo que tenga que ver con ella Cabe decir que creo que mi myor de defecto es la impaciencia Me encanta conocer gente nueva gusta una mujer determida intelegente seguracariñosa con los pies en latierra atenta Con quien poder platicar de cualquier tema hasta poder debatir ideas tambien soy un poco soñador It difficult describe I could say I someone always tries better man honest little crazy playful affectionate I love movies kinds acclaimed indie roller coster movie like avengers hahaha I love music singing passion technology everything It also mention I think biggest defect impatience I love meeting new people I like determined intelligent confident strong loving woman feet ground caring With able talk subject even able debate ideas Im also bit dreamer,es,0,system technique,single,system technique,tech
max77ackly,79.0,retired,widowed,male,Honest trustworthy loyal play indoor flat green bowls volunteer local hospice,da,0,retired,widowed,retired,retired
maximus722000,41.0,Self employed,single,male,funny gentile sportive man Looking someone villing give receive love aim build family,en,0,self employed,single,self employed,self employed
Mdy,26.0,Employed,single,female,Compassionate friendly selective love quietness comfort home dont like routine Free spirited truly loyal persons I accept life love animals nature I pets Business minded Love reading learning meaningful things,en,0,employed,single,employed,self employed
Meandu,39.0,IT,single,male,Im truly looking love life Please games,id,0,it,single,it,tech
Merch,67.0,self employed,divorced,female,hi My friends say I bubbly person caring considerate nature fun socialise I enjoy beach abroad fan Whitstable I spent younger years holidays I hoping find someone pastimes happy try new things share adventures etc,en,0,self employed,divorced,self employed,self employed
Merl1970,52.0,Retired,widowed,male,Im old fashioned man loves spoil one hes Opening door isnt something dead flowers arent Valentines Day special occasions Winning heart woman love doesnt end marriage almost daily occurrence I believe good manners grammar still matter even texts I try live golden rule treat others way want treated I perfect I love road trips looking forward travel around country Im retired Navy 19 countries plan increasing number I three grown children three grandsons I adore So Im looking forward old enough travel I enjoy quietness living country My town doesnt even stop sign road going I grew Detroit stationed big cities I dont like city living anymore Id describe pretty average guy Im 5ft 8in Im tall definitely wish I taller I think thats I like cowboy boots I three grown children three grandsons I love death Im looking best friend confidant lover Someone I enjoy matter A person automatically glides next walk naturally grab others hand My faith plays part life would part relationship I I enjoy going church person Im seeing Im Christian go nondenominational church I learned similar basic belief structure made stronger relationship Ive seen lot liberals say want nothing conservatives forthcoming I conservative Well thats Ill add I think If one picture pictures filters I probably wont reply,tr,0,retired,widowed,retired,retired
Mew,46.0,Psychotherapist,single,female,Originally Hawaii living Lansing,en,0,psychotherapist,single,psychotherapist,medical
Mexicaninus,47.0,Self employed,divorced,male,Living Tijuana working us I new city know Tijuana well,en,0,self employed,divorced,self employed,self employed
MHB2021,41.0,Retired,widowed,male,Looking discreet NSA casual relationship,tr,0,retired,widowed,retired,retired
Michael6868,54.0,Construction,single,male,Friendly clean Fun looking adventure soulmate,en,0,construction,single,construction,construction
Michael7,49.0,Business Administration,divorced,male,Old style Family Man Discipline Handsome Libra 49 Good Dad blond blue eyes 510 I like chocolate ice cream making passionate love woman home cooking eating food I passion tall average height Brunette woman Big Lips wide hip soft submissive woman wants anything else good wife mother eager please comfort man Prefer Aquarius Gemini 18 30 submissive needs loyal traditional respectful responsible kindness serious woman,en,0,business administration,divorced,business administration,office
MichaelBenton,47.0,Writer,widowed,male,I love romantic words love give poetry Im year widowed I love intelligent sense humor,de,0,writer,widowed,writer,media
Michelle51,53.0,Retired,divorced,female,My dog TOBY I looking someone UNIQUE We respectful honest loyal faithful Looking someone willing COMMUNICATE everyday Thats honest dont play games Who really truly cares get know,da,0,retired,divorced,retired,retired
MichMAP,58.0,Education,divorced,female,I enjoy socializing family friends I would like meet someone trustworthy I interested independent seriousminded Male,en,0,education,divorced,education,education
Miguelan,55.0,Own bussines,divorced,male,Iwould like met someone share nice moments also enjoy togheter life,en,0,own bussines,divorced,own bussines,self employed
Mike10thick,34.0,Carpenter,single,male,Hows goin Well Im good lol Im 31 Italian native American love laugh enjoy life I love entertain I dancer quite I open book dont hesitate ask questions,nl,0,carpenter,single,carpenter,self employed
Mike166,23.0,Construction,single,male,Im Mike Finland im going Be Sweden weeks im looking fun maybe Make new friends I dont smoke drink sports every Day,en,0,construction,single,construction,construction
mikejhsn11,63.0,self employed,divorced,male,I easygoing positive communicative ambitious amazing man I good sense humor unforgettable smile I know I want life I want I love enjoy life,en,0,self employed,divorced,self employed,self employed
Mikewee777,37.0,Security,single,male,I low maintainance guy works nights sleeps day I would like someday run city council I big fan game design software called megazeux Life full expensive inconveniences let us less burden,en,0,security,single,security,service
Milagros28,29.0,Engineer,single,female,Hi name Milagros 27 years old I would like meet people know culture make beautiful friendship maybe something,af,0,engineer,single,engineer,engineer
Misa86,36.0,economist,single,male,I like nature parks museums I glad introduce new people,it,0,economist,single,economist,finance
mlicon,30.0,Ingeniero,single,male,Hi name Miguel Im Mexico Im engineer aeronautics My hobbies playing guitar videogames watch movies I like listen music favorite genre rock rap hip hop Mexican regional music I dont know dance I could learn I speak Spanish little bit English,af,0,engineer,single,engineer,engineer
mnm83,39.0,Self employed,divorced,male,Im divorced I daughter I live parents Im cool honest,en,0,self employed,divorced,self employed,self employed
moneysheen50,68.0,retired,divorced,male,land san miguel near esparza want make friends talk socialize planning building house near future want network friends mingle interested marriage,da,0,retired,divorced,retired,retired
Mony277,44.0,Docente,single,female,I person loves nature love sports travelling,it,0,teacher,single,teacher,education
moonnstar,55.0,Physician,single,male,I well educated nice easygoing happy person love life broad interests life I looking nice welleducated talent family oriented lady long term relationship family,en,0,physician,single,physician,medical
Morenaso,34.0,Nurse,single,male,I romantic ardent passionate friendly,fr,0,nurse,single,nurse,medical
mosa,28.0,Medical,single,female,I enjoy spending time family friends listening live music patio summer Play football I like try new places see big town offer At home I enjoy gardening trying new recipes I love Sunday dinner family Its best part week,es,0,medical,single,medical,medical
MosheB,74.0,Retired,divorced,male,Im 72 years Observant Jew English Mothertongue Divorced many years Kohen Made Aliyah 21 years ago Philadelphia Pa Am outspoken history important issues Judaism Israel US,da,0,retired,divorced,retired,retired
MountainGirl,50.0,Chemist,single,female,Hi I like outofdoors I like quieter sports part Im adrenaline rush least type comes speed My sister describes Zen mountain girl I guess might close I love high places cool winds sleeping tent Want come,de,0,chemist,single,chemist,science
mountainski,70.0,retired,divorced,male,I rich I Faithful romantic likes adventures outdoor activities mountains I enjoy hot weather cold snow weather like rain I looking Serious loving relationship partner best friend lover,da,0,retired,divorced,retired,retired
Mred1970,52.0,Business owner,single,male,Looking someone cool kind trustworthy make friends hang see happens No need rush anything I looking hook either I looking someone text forever I dont need go another place message like hangouts WhatsApp Right fine exchchange phone numbers whatever Nobody working phone dating sites talking video chat Amazing If profile picture someone besides amature porn star Instagram model please dont contact I also willing long distance relationship someone unreasonable distance away hours fine across country overseas I I work I single never married kids I dark sense humor think cynical funny gives impression I negative attitude could truth I think I hilarious Is wrong I like negative people people anger management issues There never reason behave negative ways I immediately separate type people I animal lover especially dogs I like pizza nachos motorcycles rock roll especially ounk rock old cars road trips outdoors I life long vegetarian I dont care anyone else isnt one,en,0,business owner,single,business owner,self employed
MrEvaCool77,35.0,technician,single,male,Im loving caring honest open mindedlove fun gud sense humor,en,0,technician,single,technician,engineer
MrLovemaster,52.0,Business Owner,single,male,Hard working man trying succeed life I deserve liberty pursuit happiness matter,de,0,business owner,single,business owner,self employed
MykleMatwaya,42.0,Therapist,divorced,male,StraightMale 39 510 228lbs I currently reside Los Angeles California area however I come decision permanently relocate Mexico somewhere Baja Ca I seek better quality life slow enjoy humanity give back people need help I would love find someone wonderful start live new life No hook ups friends benefits casual anythings I appreciate attention compliments offers Im flattered doesnt matter say pretty youre reason I please lets waste others time I casual sex Hello thank taking time come order satisfy small curiosity I hope find information I placed convenient useful making mind whether deem worthy enough valuable time I hope enjoy appreciate find I eager begin learn Thank consideration enjoy Im liar Im cheater Im Sex Im fun either My intentions sound I lived enough understand greatest things life truly made material yet substance Amongst integrity morality modesty selflessness name These traits fake buy store imitate watching television They gifts God given either They give us much room elaborate I try sum things best I I promise honest I going make spend next moments life listening sameol tired routine sswipe writing everything thinks want hear fluffing attributes fairy tale whatever else order blow enough smoke far ss start think panties must fire Thats Im going waste time mine insulting intellect This 1st act towards order gain respect trust foundations lasting relationship thats I find All I ask return appreciate respectful courtesy I extending towards please extend courtesy Now read next fact needs made abundantly clear I nowhere close perfect anyones standards I wealthy far I struggle life like everyone else I skinny obese I muscular athletic type I however big strong healthy loyal protective Alpha Male Father I honest person understanding patient realistic I controlling abusive insecure I jealous bone body I highly emphatic ever aware care much effect I people around given place given time I thoughtless insensitive I detest rudeness despise bullying kind physical intellectual emotional whatever I wont allow take place presence I bit oldfashioned I tend romanticize world life everything offer best worst To meaning offers opportunity learning growth I believe coincidences accidents chaos chance I believe One God I know make mistakes therefore would contradicting allow If crazy mad passionate extraordinary love waste time I enough mediocre things life already I refuse allow love reduced one mediocrity I search woman knows exactly Someone struggled entire life order able hold onto true identity God given individuality order able accept person sees staring back ever looks mirror Who accept good bad Someone accepts responsibility actions choices life Someone empathy patience understanding Morality modesty selflessness Some one loves sake others merely sake I dont care doneor havent done I havent done much I one particular importance I one kind pretty much I ever likely I live life examples I set based consistency character God willing I continue day I die So biggest fight holding I already something relate I may much least I I dont compromise morality able blend everybody else All I want I ever wanted life someone treat way I treat That may sound cliché true nonetheless I easy man please The little things matter anything else I True Romantic every sense word I looking one girl read see staring back lines perhaps I already found I smoke drink drugs That mean I judge either I dont partake I dont mind smoke drink Everything best done moderation But I say I interested compteing substances person chooses loves anything else life But problem something dealbreaker either Times tough hung something one way another Im always I sports fan sorry I cant seem able give crap way whatsoever I remember time woman would relived hear However I talked attending game every often I wont pay attention If kids teams I supportive involved I I enjoy literature I like little writing time time I handy I prefer fix things I Cant dance I like cook cook Im neat person I tend keep things tidy 3 cats may sound bit excessive many pairs shoes They special nice compliment My lifestyle Im selfish man bed Im impulsive I dont jump conclusions I Muslim For religion I put I 90 people stop reading right see Muslim personal details Hopefully reading see I stand nowhere close negative stereotypes may conditioned believing us Im fanatic chauvinist controlling asshole I wasnt raised way I rational open minded nonjudgemental individual I Muslim ability subjective thought choice Not influence heredity culture No one talked thisThis isnt something I believe something I convinced I wasnt born Muslim lifestyle I Muslim family members friends That means I impress mommy daddy anyone elseTrust none like one bit This something dear makes feel better everyone else I pray 5xs day abstain certain things really arent good ways Whats beef At least I man would rather follow rules morality selfish impulses unlike inconsiderate lil shts used dating I focused disciplined much better human I ever dreamed I could And human I every really wanted And I love Muslim It important thing world But mean Your beliefs mine mine I respect choices visa versa I would like thank coming far I tried best make worth time Now thisit obvious I lazy I lack willingness considerate expressive informative I put sincere effort I pretty good writer I want happen easily And even though I capable writing enjoy much I let little secret none necessarily means I great typist even mediocre one I terrible typist even worse textr I spend much time editing tiny screens bid thumbs real pain ass frustrating That said I text little please As probably tell I problem summing things making long stories short I write Its way I text I thorough accustomed leaving important information I communicate information important component understanding Therefore want talk lets talk Offer courtesy telephone call please I already put much time effort writing alot anyone else willing So please sweetheart give ring Havent I earned I assure I far much healthy sense shame would never dream bothering another human past point interest Im stalker,en,0,therapist,divorced,therapist,medical
myline_muskin,29.0,security,single,male,azy Nerd PC gaming boy like cats movie learning japanese drinking wine smoking Go GYM health strong lets chat,en,0,security,single,security,service
MysticBlue,20.0,Student,single,female,I like wolves anime drawing Any questions Pls ask,de,0,student,single,student,education
Nastya404,22.0,Manager,single,female,Hello Im Ukraine I came parents I running away war I want fun looking friend,tl,0,manager,single,manager,manager
NataliaN7,53.0,A nurse,divorced,female,pretty goodheart woman looking smart serious man,ro,0,a nurse,divorced,a nurse,medical
Natebeach,47.0,Marketing,single,male,There lot Ill keep simple I Aspergers Im nerd many ways Im deeply spiritual person No specific religion closest Paganism I multitude interests love talk I dont put rude insulting disrespectful people I want nice clean respectful intelligent conversation start go My sense humor almost entirely family friendly I like try make friends No car I dont much money I support problem If youre looking money dont talk As long youre financially okay thats good Im caring respectful person I expect everyone else Feel free chat thanks,id,0,marketing,single,marketing,office
Natusia,47.0,Doctor,single,male,positive woman knows wants life looking closeminded man,es,0,doctor,single,doctor,medical
NavyGuy,75.0,Retired,divorced,male,Sensual romantic man looking partner,tr,0,retired,divorced,retired,retired
Naz1012,32.0,Businessman,single,male,im open minded dont like boring relationships,fi,0,businessman,single,businessman,self employed
Ndulech,31.0,Student,single,male,I one judges hold meaningful conversations There plenty find interested,de,0,student,single,student,education
Neethailand,53.0,Cleaner,divorced,female,hi I nee Thailand I single mom good heart sincere honest I would like find lover life partner I grow old together,en,0,cleaner,divorced,cleaner,service
Nefertiri,50.0,Supervisor,single,female,I Rashieda Yes name Islam originbut I Christian 8 yrs Due thisI disinherited familyfriends community I live elderly lady spend days aloneeven weekends Yearning partner except flaws I time waste jokers I loyaltrustworthyhonest love hard deep Yes I happy chappy everydaybut mistake kindness weakness I survived muchso face challenge headonfor nothing scares Had fair share scammer exposure long honest seekers companionsnot guys pretending someone else amuse,fi,0,supervisor,single,supervisor,manager
Neil30,43.0,Sales Manager,divorced,male,Im coolcollective person enjoys outdoor lifeIm looking lady honest trustworthy loyal caring understanding,tl,0,sales manager,divorced,sales manager,manager
Nephthali,32.0,Personal trainer,single,male,I going give everything expect Im man I man,en,0,personal trainer,single,personal trainer,service
New42021,46.0,Architect,divorced,male,Well educated well established well settled great life however would better enjoyed loving woman side,en,0,architect,divorced,architect,construction
ngreyes,58.0,Retired,married,male,I usually travel want make friends I get perhaps share fun activities travel social outings get know area etc,tr,0,retired,married,retired,retired
Nico1971,51.0,Electrician,married,male,Love nature outdoors camping,es,0,electrician,married,electrician,engineer
Nicole221,51.0,RN,single,female,I communicative person also easy going caring I love making presents I love surprise dearest nearest people good way course I appreciate beauty everything people love nature world around us arts simply everything I also convinced accept people way good sides flaws call pure unconditional love,de,0,rn,single,rn,others
Nicotorrandell93,29.0,Barber,single,male,I Latin America I live Canary Islands moment I like traveling adventures discovering new places I calm curious,de,0,barber,single,barber,service
Nikospain,52.0,Autonomo,single,male,I curious nature I like sports travel activities nature Good sense humor I speak clearlydirectly without detours openminded honest I try better person tomorrow I yesterday I like mental challenges constructive talks I looking someone similar share life,it,0,autonomous,single,autonomous,engineer
Niya,24.0,Customer service,single,female,I fun loving young woman looking start family,en,0,customer service,single,customer service,service
Noble8,44.0,Entrepreneur,single,male,Slim athletic single male looking smart intelligent female helpmate life,fr,0,entrepreneur,single,entrepreneur,self employed
Noble888,44.0,Entrepreneur,single,male,Slim athletic male gentle seeking smart female helpmate,fr,0,entrepreneur,single,entrepreneur,self employed
Noevero,43.0,Designer,single,female,I love art dance dogs I want travel,da,0,designer,single,designer,art
Nomcebo,41.0,Receptionist,single,female,I consider open I consider wellinformed I easily put trust others I consider responsible,en,0,receptionist,single,receptionist,service
Nulife,46.0,Welder,divorced,male,Serious responsible kind outdoorsy music cinema water lover Simple things life offer,de,0,welder,divorced,welder,construction
Nysalvadoreno3,34.0,Gerente,single,male,Youve got ta dance like theres nobody watching Love like youll never hurt Sing like theres nobody listening And live like heaven earth,de,0,manager,single,manager,manager
Oldfashionromantic,60.0,Semiretired,divorced,male,I old fashion gentleman many ways,tr,0,semiretired,divorced,semiretired,retired
OldPrussian,54.0,retired,divorced,male,I dont know world going run forever I know Im going around forever I dont know I finally meet warm heart join better happier journey I know I cant stop looking cant stop calling heart I also dont know life holds tomorrow I know get older I feel safer get old Someone remember days grow All profiles repeat Everyone crying say good cool fun But real content real Im tired lies fakes I want someone real I want best friend I think says Maybe right time right place right person online dating good Well see,da,0,retired,divorced,retired,retired
OliviaS,44.0,Retail,divorced,female,Looking great chemistry connection mutual interest values build great long term relationship,fi,0,retail,divorced,retail,service
Olivia_UA,36.0,Marketing,divorced,female,If ask I value life itd humor tasty food traveling people including 7years old son Wan na touch world,id,0,marketing,divorced,marketing,office
Oral_Jay,46.0,Unemployed,divorced,male,Im guy enjoys music cooking nature,en,0,unemployed,divorced,unemployed,self employed
OriettaJimenez71,50.0,MAESTRA,separated,female,I AM A QUIET WOMAN WHO APPRECIATES THE LITTLE DETAILS OF LIFE HARDWORKING HONEST LOYAL AND Q VALUES LOYALTY SOY UNA MUJER TRANQUILA QUE APRECIA LOS PEQUEÑÑOS DETALLES DE LA VIDA TRABAJADORA HONESTA LEAL Y Q VALORA LA FIDELIDAD,sw,0,teacher,separated,teacher,education
