username,age,occupation,status,gender,filtered sentence,Language,y,translated_occupation
LouFirstCardsForever,55,Management,divorced,male,I like cook dinner watch movies fun things dates make love cry laugh great conversations I hopeful I find companionship friendship passion love respect adventure fun someone life including joys pains I gentleman kind patient understanding,nl,0,Management
Louise1,61,CNA,widowed,female,I GOD fearing woman I try walk ways Him I would describe sensitive intelligent able communicate emotional level I honest unpretentious drawn simple pleasures I happy person take seriously I compassionate loving free spirited I love daughter highlight life I looking sincere man love GOD likes laugh want share life together,en,0,CNA
Lourdes0022,24,Student,single,female,I know name hard pronounce I go Lou well Im tourism management student work interpreter Love adventures traveling Im always crazy idea,de,0,Student
Love2BLoved,48,Cook,single,male,Im easy simple man laidback easygoing selfconfident hardworking loving kind sweet joyful happy Christian dedicated devoting compassionate romantic open minded adventurous spontaneous enjoy hiking swimming jogging staying Physically Active history museums arts crafts car shows concerts camping bonfires kayak canoeing river rafting public intimacy long walks Beach holding hands I love poetry singing dancing karaoke zoo traveling gardening reading good book I love colors I enjoy listening classic rock pop rock soft rock alternative rock hard rock easy listening reggae smooth jazz Latina music RB soul funk disco rock roll country hip hop,nl,0,Cook
LovefromAmerica,47,IT,single,male,Desperately seeking person Im hopeless romantic wants find quiet place enjoy life amazing woman Feel free ask anything,id,0,IT
lovesweet,61,retired,divorced,female,good lady looking good life I make one laugh happy I fun loving want good man love I,da,0,retired
Lovu250,69,Retired,separated,male,I 65 years old 5 11 185 lbs I Chinese American served US military I retired I three kids finished college masters degree doctoral degree My Son Medical Doctor degree Doctor Medicine I used teach college physics calculus electronics My wife left memoved 7 years ago live girlfriend That nutshell As see I value education family life As future I believe God provide direct His ways I religious person I believe Jesus ashame tell I one His Children You talk God I befriend anyone Age number True love worry rich poor Outer appearance changed overnight Only beauty inside eternal All others meaningless Continue keep beauty inside,tr,0,Retired
LSGusa,52,retired,single,male,BLAH BLAH BLAH This every one tries either dazzle us brilliance baffle us Bullshit either way really know someone write Maybe get know try say mean say least try best keep mind I think falls rule unto others would unto basic common sense human courtesy,da,0,retired
luarer,34,CONTADOR,single,male,SOY UNA PERSON A TRANQUILA QUE BUSCA A ESA PERSONA QUE LE ACOMPAÑE A VIVIR Y QUE ME AYUDE A PROGRESAR QUE NOS APOYEMOS SEAMOS AMIGOS Y COMPAÑEROS,en,0,CONTADOR
luckyduck123,25,student,single,male,love workout tons watch movies,nl,0,student
luigui2021,32,student,single,male,Website developer baby steps python engineering Searching ideas live,nl,0,student
Luis777jlaub,33,Ninguna,single,male,Quiero amar una chica güera I want love blond woman,tl,0,None
luisdelamora1,44,arquitecto,single,male,im gentleman sincere loyal fun caring Im artistso im sensitive,fr,0,architect
Luistroy,42,Construction,single,male,Im 56 weigh 140 black hair brown eyes slim looking open minded woman,en,0,Construction
Lynndamron34,36,Unemployed,single,female,Im funny easy going u piss Im crazy,en,0,Unemployed
Lyrra,52,Self employed,separated,female,Im simples person positive outlook life,en,0,Self employed
Macadoo,62,retired,married,male,Love outdoor animals playing golf,da,0,retired
Maikkel,45,Banca,single,male,I worker man responsible honest I like practice sports books cinema travel,id,0,Bank
Makki,41,Tourist Guide,divorced,female,Im Latina Peru living Madrid Only want find love life share everything,fr,0,Tourist Guide
Maltalgirl629,72,Retired,divorced,female,Retired divorce Have three pets cat two small dogs,da,0,Retired
MANDRAKE,54,Engineer,separated,male,Im looking special girl share libra realize dreams,af,0,Engineer
Mannny7,45,Project manager,separated,male,I like ther outdoors enjoy staying indoors aswell Looking someone knows want,hr,0,Project manager
Mara2021,44,Self employed,divorced,female,Single hard working looking half part someone honest faith good comunication respectful Have gols life want start relationship leading marriage,en,0,Self employed
Marcele,56,Admin,divorced,female,Fun lovingoutdoorslong walks beach date nights,pt,0,Admin
Marcelo1975,46,Engineer,divorced,male,I looking kind simple affectionate woman wants share life caring serious hardworking adventurous man I would like start love life someone really wants enjoy pleasures life couple,af,0,Engineer
Marg1503,48,Unemployed,divorced,female,Loving caring lady hoping find soulmate,en,0,Unemployed
Margott,26,Driver,single,female,My friends consider affectionate kind loving person I like outdoors nature dancing swimming ocean going movies live music,no,0,Driver
Maria657,65,Retired,single,female,Caring loving romantic funny educated,tr,0,Retired
Mariane1967,55,Profesora,divorced,female,I young Latin American I want international friends especially france If think friends I wait response,en,0,Profesora
Mariel77,45,Teacher,single,female,Im positive creative woman I love nature hiking,de,0,Teacher
Marilot,59,Marketing,divorced,female,I speak English Spanish looking somebody funny gentleman nice person live life walk world next,id,0,Marketing
Marine6,55,Engineer,single,male,Single make kids looking travel special someone,af,0,Engineer
Marstillo82,40,Laborer,single,male,Theres much Not perfect one And experience life lessons Im ready live life,es,0,Laborer
MARYBEL,41,DOCENTE,single,female,CHICA RISUEÑA TRABAJADORA SOLIDARIA Y CON MUCHOS VALORES,de,0,TEACHER
Mattt001,46,businessman,in relationship,male,Looking person talk spend time Someone tuned spending nice moments right mood,en,0,businessman
mauricioantionio,44,Técnico en Sistemas,single,male,Es dificil describirse pero podria decir que soy una persona que trata siempre de hacer el bien honesto un poco loco juguetoncariñoso encantan las peliculas de todo tipo desde un aclamada indie hasta una de avengers jajaja Me encanta la musica cantar son mi pasion aparet de la tecnoligia todo lo que tenga que ver con ella Cabe decir que creo que mi myor de defecto es la impaciencia Me encanta conocer gente nueva gusta una mujer determida intelegente seguracariñosa con los pies en latierra atenta Con quien poder platicar de cualquier tema hasta poder debatir ideas tambien soy un poco soñador It difficult describe I could say I someone always tries better man honest little crazy playful affectionate I love movies kinds acclaimed indie roller coster movie like avengers hahaha I love music singing passion technology everything It also mention I think biggest defect impatience I love meeting new people I like determined intelligent confident strong loving woman feet ground caring With able talk subject even able debate ideas Im also bit dreamer,es,0,System technique
max77ackly,79,retired,widowed,male,Honest trustworthy loyal play indoor flat green bowls volunteer local hospice,da,0,retired
maximus722000,41,Self employed,single,male,funny gentile sportive man Looking someone villing give receive love aim build family,en,0,Self employed
Mdy,26,Employed,single,female,Compassionate friendly selective love quietness comfort home dont like routine Free spirited truly loyal persons I accept life love animals nature I pets Business minded Love reading learning meaningful things,en,0,Employed
Meandu,39,IT,single,male,Im truly looking love life Please games,id,0,IT
Merch,67,self employed,divorced,female,hi My friends say I bubbly person caring considerate nature fun socialise I enjoy beach abroad fan Whitstable I spent younger years holidays I hoping find someone pastimes happy try new things share adventures etc,en,0,self employed
Merl1970,52,Retired,widowed,male,Im old fashioned man loves spoil one hes Opening door isnt something dead flowers arent Valentines Day special occasions Winning heart woman love doesnt end marriage almost daily occurrence I believe good manners grammar still matter even texts I try live golden rule treat others way want treated I perfect I love road trips looking forward travel around country Im retired Navy 19 countries plan increasing number I three grown children three grandsons I adore So Im looking forward old enough travel I enjoy quietness living country My town doesnt even stop sign road going I grew Detroit stationed big cities I dont like city living anymore Id describe pretty average guy Im 5ft 8in Im tall definitely wish I taller I think thats I like cowboy boots I three grown children three grandsons I love death Im looking best friend confidant lover Someone I enjoy matter A person automatically glides next walk naturally grab others hand My faith plays part life would part relationship I I enjoy going church person Im seeing Im Christian go nondenominational church I learned similar basic belief structure made stronger relationship Ive seen lot liberals say want nothing conservatives forthcoming I conservative Well thats Ill add I think If one picture pictures filters I probably wont reply,tr,0,Retired
Mew,46,Psychotherapist,single,female,Originally Hawaii living Lansing,en,0,Psychotherapist
Mexicaninus,47,Self employed,divorced,male,Living Tijuana working us I new city know Tijuana well,en,0,Self employed
MHB2021,41,Retired,widowed,male,Looking discreet NSA casual relationship,tr,0,Retired
Michael6868,54,Construction,single,male,Friendly clean Fun looking adventure soulmate,en,0,Construction
Michael7,49,Business Administration,divorced,male,Old style Family Man Discipline Handsome Libra 49 Good Dad blond blue eyes 510 I like chocolate ice cream making passionate love woman home cooking eating food I passion tall average height Brunette woman Big Lips wide hip soft submissive woman wants anything else good wife mother eager please comfort man Prefer Aquarius Gemini 18 30 submissive needs loyal traditional respectful responsible kindness serious woman,en,0,Business Administration
MichaelBenton,47,Writer,widowed,male,I love romantic words love give poetry Im year widowed I love intelligent sense humor,de,0,Writer
Michelle51,53,Retired,divorced,female,My dog TOBY I looking someone UNIQUE We respectful honest loyal faithful Looking someone willing COMMUNICATE everyday Thats honest dont play games Who really truly cares get know,da,0,Retired
MichMAP,58,Education,divorced,female,I enjoy socializing family friends I would like meet someone trustworthy I interested independent seriousminded Male,en,0,Education
Miguelan,55,Own bussines,divorced,male,Iwould like met someone share nice moments also enjoy togheter life,en,0,Own bussines
Mike10thick,34,Carpenter,single,male,Hows goin Well Im good lol Im 31 Italian native American love laugh enjoy life I love entertain I dancer quite I open book dont hesitate ask questions,nl,0,Carpenter
Mike166,23,Construction,single,male,Im Mike Finland im going Be Sweden weeks im looking fun maybe Make new friends I dont smoke drink sports every Day,en,0,Construction
mikejhsn11,63,self employed,divorced,male,I easygoing positive communicative ambitious amazing man I good sense humor unforgettable smile I know I want life I want I love enjoy life,en,0,self employed
Mikewee777,37,Security,single,male,I low maintainance guy works nights sleeps day I would like someday run city council I big fan game design software called megazeux Life full expensive inconveniences let us less burden,en,0,Security
Milagros28,29,Engineer,single,female,Hi name Milagros 27 years old I would like meet people know culture make beautiful friendship maybe something,af,0,Engineer
Misa86,36,economist,single,male,I like nature parks museums I glad introduce new people,it,0,economist
mlicon,30,Ingeniero,single,male,Hi name Miguel Im Mexico Im engineer aeronautics My hobbies playing guitar videogames watch movies I like listen music favorite genre rock rap hip hop Mexican regional music I dont know dance I could learn I speak Spanish little bit English,af,0,Engineer
mnm83,39,Self employed,divorced,male,Im divorced I daughter I live parents Im cool honest,en,0,Self employed
moneysheen50,68,retired,divorced,male,land san miguel near esparza want make friends talk socialize planning building house near future want network friends mingle interested marriage,da,0,retired
Mony277,44,Docente,single,female,I person loves nature love sports travelling,it,0,teacher
moonnstar,55,Physician,single,male,I well educated nice easygoing happy person love life broad interests life I looking nice welleducated talent family oriented lady long term relationship family,en,0,Physician
Morenaso,34,Nurse,single,male,I romantic ardent passionate friendly,fr,0,Nurse
mosa,28,Medical,single,female,I enjoy spending time family friends listening live music patio summer Play football I like try new places see big town offer At home I enjoy gardening trying new recipes I love Sunday dinner family Its best part week,es,0,Medical
MosheB,74,Retired,divorced,male,Im 72 years Observant Jew English Mothertongue Divorced many years Kohen Made Aliyah 21 years ago Philadelphia Pa Am outspoken history important issues Judaism Israel US,da,0,Retired
MountainGirl,50,Chemist,single,female,Hi I like outofdoors I like quieter sports part Im adrenaline rush least type comes speed My sister describes Zen mountain girl I guess might close I love high places cool winds sleeping tent Want come,de,0,Chemist
mountainski,70,retired,divorced,male,I rich I Faithful romantic likes adventures outdoor activities mountains I enjoy hot weather cold snow weather like rain I looking Serious loving relationship partner best friend lover,da,0,retired
Mred1970,52,Business owner,single,male,Looking someone cool kind trustworthy make friends hang see happens No need rush anything I looking hook either I looking someone text forever I dont need go another place message like hangouts WhatsApp Right fine exchchange phone numbers whatever Nobody working phone dating sites talking video chat Amazing If profile picture someone besides amature porn star Instagram model please dont contact I also willing long distance relationship someone unreasonable distance away hours fine across country overseas I I work I single never married kids I dark sense humor think cynical funny gives impression I negative attitude could truth I think I hilarious Is wrong I like negative people people anger management issues There never reason behave negative ways I immediately separate type people I animal lover especially dogs I like pizza nachos motorcycles rock roll especially ounk rock old cars road trips outdoors I life long vegetarian I dont care anyone else isnt one,en,0,Business owner
MrEvaCool77,35,technician,single,male,Im loving caring honest open mindedlove fun gud sense humor,en,0,technician
MrLovemaster,52,Business Owner,single,male,Hard working man trying succeed life I deserve liberty pursuit happiness matter,de,0,Business Owner
MykleMatwaya,42,Therapist,divorced,male,StraightMale 39 510 228lbs I currently reside Los Angeles California area however I come decision permanently relocate Mexico somewhere Baja Ca I seek better quality life slow enjoy humanity give back people need help I would love find someone wonderful start live new life No hook ups friends benefits casual anythings I appreciate attention compliments offers Im flattered doesnt matter say pretty youre reason I please lets waste others time I casual sex Hello thank taking time come order satisfy small curiosity I hope find information I placed convenient useful making mind whether deem worthy enough valuable time I hope enjoy appreciate find I eager begin learn Thank consideration enjoy Im liar Im cheater Im Sex Im fun either My intentions sound I lived enough understand greatest things life truly made material yet substance Amongst integrity morality modesty selflessness name These traits fake buy store imitate watching television They gifts God given either They give us much room elaborate I try sum things best I I promise honest I going make spend next moments life listening sameol tired routine sswipe writing everything thinks want hear fluffing attributes fairy tale whatever else order blow enough smoke far ss start think panties must fire Thats Im going waste time mine insulting intellect This 1st act towards order gain respect trust foundations lasting relationship thats I find All I ask return appreciate respectful courtesy I extending towards please extend courtesy Now read next fact needs made abundantly clear I nowhere close perfect anyones standards I wealthy far I struggle life like everyone else I skinny obese I muscular athletic type I however big strong healthy loyal protective Alpha Male Father I honest person understanding patient realistic I controlling abusive insecure I jealous bone body I highly emphatic ever aware care much effect I people around given place given time I thoughtless insensitive I detest rudeness despise bullying kind physical intellectual emotional whatever I wont allow take place presence I bit oldfashioned I tend romanticize world life everything offer best worst To meaning offers opportunity learning growth I believe coincidences accidents chaos chance I believe One God I know make mistakes therefore would contradicting allow If crazy mad passionate extraordinary love waste time I enough mediocre things life already I refuse allow love reduced one mediocrity I search woman knows exactly Someone struggled entire life order able hold onto true identity God given individuality order able accept person sees staring back ever looks mirror Who accept good bad Someone accepts responsibility actions choices life Someone empathy patience understanding Morality modesty selflessness Some one loves sake others merely sake I dont care doneor havent done I havent done much I one particular importance I one kind pretty much I ever likely I live life examples I set based consistency character God willing I continue day I die So biggest fight holding I already something relate I may much least I I dont compromise morality able blend everybody else All I want I ever wanted life someone treat way I treat That may sound cliché true nonetheless I easy man please The little things matter anything else I True Romantic every sense word I looking one girl read see staring back lines perhaps I already found I smoke drink drugs That mean I judge either I dont partake I dont mind smoke drink Everything best done moderation But I say I interested compteing substances person chooses loves anything else life But problem something dealbreaker either Times tough hung something one way another Im always I sports fan sorry I cant seem able give crap way whatsoever I remember time woman would relived hear However I talked attending game every often I wont pay attention If kids teams I supportive involved I I enjoy literature I like little writing time time I handy I prefer fix things I Cant dance I like cook cook Im neat person I tend keep things tidy 3 cats may sound bit excessive many pairs shoes They special nice compliment My lifestyle Im selfish man bed Im impulsive I dont jump conclusions I Muslim For religion I put I 90 people stop reading right see Muslim personal details Hopefully reading see I stand nowhere close negative stereotypes may conditioned believing us Im fanatic chauvinist controlling asshole I wasnt raised way I rational open minded nonjudgemental individual I Muslim ability subjective thought choice Not influence heredity culture No one talked thisThis isnt something I believe something I convinced I wasnt born Muslim lifestyle I Muslim family members friends That means I impress mommy daddy anyone elseTrust none like one bit This something dear makes feel better everyone else I pray 5xs day abstain certain things really arent good ways Whats beef At least I man would rather follow rules morality selfish impulses unlike inconsiderate lil shts used dating I focused disciplined much better human I ever dreamed I could And human I every really wanted And I love Muslim It important thing world But mean Your beliefs mine mine I respect choices visa versa I would like thank coming far I tried best make worth time Now thisit obvious I lazy I lack willingness considerate expressive informative I put sincere effort I pretty good writer I want happen easily And even though I capable writing enjoy much I let little secret none necessarily means I great typist even mediocre one I terrible typist even worse textr I spend much time editing tiny screens bid thumbs real pain ass frustrating That said I text little please As probably tell I problem summing things making long stories short I write Its way I text I thorough accustomed leaving important information I communicate information important component understanding Therefore want talk lets talk Offer courtesy telephone call please I already put much time effort writing alot anyone else willing So please sweetheart give ring Havent I earned I assure I far much healthy sense shame would never dream bothering another human past point interest Im stalker,en,0,Therapist
myline_muskin,29,security,single,male,azy Nerd PC gaming boy like cats movie learning japanese drinking wine smoking Go GYM health strong lets chat,en,0,security
MysticBlue,20,Student,single,female,I like wolves anime drawing Any questions Pls ask,de,0,Student
Nastya404,22,Manager,single,female,Hello Im Ukraine I came parents I running away war I want fun looking friend,tl,0,Manager
NataliaN7,53,A nurse,divorced,female,pretty goodheart woman looking smart serious man,ro,0,A nurse
Natebeach,47,Marketing,single,male,There lot Ill keep simple I Aspergers Im nerd many ways Im deeply spiritual person No specific religion closest Paganism I multitude interests love talk I dont put rude insulting disrespectful people I want nice clean respectful intelligent conversation start go My sense humor almost entirely family friendly I like try make friends No car I dont much money I support problem If youre looking money dont talk As long youre financially okay thats good Im caring respectful person I expect everyone else Feel free chat thanks,id,0,Marketing
Natusia,47,Doctor,single,male,positive woman knows wants life looking closeminded man,es,0,Doctor
NavyGuy,75,Retired,divorced,male,Sensual romantic man looking partner,tr,0,Retired
Naz1012,32,Businessman,single,male,im open minded dont like boring relationships,fi,0,Businessman
Ndulech,31,Student,single,male,I one judges hold meaningful conversations There plenty find interested,de,0,Student
Neethailand,53,Cleaner,divorced,female,hi I nee Thailand I single mom good heart sincere honest I would like find lover life partner I grow old together,en,0,Cleaner
Nefertiri,50,Supervisor,single,female,I Rashieda Yes name Islam originbut I Christian 8 yrs Due thisI disinherited familyfriends community I live elderly lady spend days aloneeven weekends Yearning partner except flaws I time waste jokers I loyaltrustworthyhonest love hard deep Yes I happy chappy everydaybut mistake kindness weakness I survived muchso face challenge headonfor nothing scares Had fair share scammer exposure long honest seekers companionsnot guys pretending someone else amuse,fi,0,Supervisor
Neil30,43,Sales Manager,divorced,male,Im coolcollective person enjoys outdoor lifeIm looking lady honest trustworthy loyal caring understanding,tl,0,Sales Manager
Nephthali,32,Personal trainer,single,male,I going give everything expect Im man I man,en,0,Personal trainer
New42021,46,Architect,divorced,male,Well educated well established well settled great life however would better enjoyed loving woman side,en,0,Architect
ngreyes,58,Retired,married,male,I usually travel want make friends I get perhaps share fun activities travel social outings get know area etc,tr,0,Retired
Nico1971,51,Electrician,married,male,Love nature outdoors camping,es,0,Electrician
Nicole221,51,RN,single,female,I communicative person also easy going caring I love making presents I love surprise dearest nearest people good way course I appreciate beauty everything people love nature world around us arts simply everything I also convinced accept people way good sides flaws call pure unconditional love,de,0,RN
Nicotorrandell93,29,Barber,single,male,I Latin America I live Canary Islands moment I like traveling adventures discovering new places I calm curious,de,0,Barber
Nikospain,52,Autonomo,single,male,I curious nature I like sports travel activities nature Good sense humor I speak clearlydirectly without detours openminded honest I try better person tomorrow I yesterday I like mental challenges constructive talks I looking someone similar share life,it,0,Autonomous
Niya,24,Customer service,single,female,I fun loving young woman looking start family,en,0,Customer service
Noble8,44,Entrepreneur,single,male,Slim athletic single male looking smart intelligent female helpmate life,fr,0,Entrepreneur
Noble888,44,Entrepreneur,single,male,Slim athletic male gentle seeking smart female helpmate,fr,0,Entrepreneur
Noevero,43,Designer,single,female,I love art dance dogs I want travel,da,0,Designer
Nomcebo,41,Receptionist,single,female,I consider open I consider wellinformed I easily put trust others I consider responsible,en,0,Receptionist
Nulife,46,Welder,divorced,male,Serious responsible kind outdoorsy music cinema water lover Simple things life offer,de,0,Welder
Nysalvadoreno3,34,Gerente,single,male,Youve got ta dance like theres nobody watching Love like youll never hurt Sing like theres nobody listening And live like heaven earth,de,0,Manager
Oldfashionromantic,60,Semiretired,divorced,male,I old fashion gentleman many ways,tr,0,Semiretired
OldPrussian,54,retired,divorced,male,I dont know world going run forever I know Im going around forever I dont know I finally meet warm heart join better happier journey I know I cant stop looking cant stop calling heart I also dont know life holds tomorrow I know get older I feel safer get old Someone remember days grow All profiles repeat Everyone crying say good cool fun But real content real Im tired lies fakes I want someone real I want best friend I think says Maybe right time right place right person online dating good Well see,da,0,retired
OliviaS,44,Retail,divorced,female,Looking great chemistry connection mutual interest values build great long term relationship,fi,0,Retail
Olivia_UA,36,Marketing,divorced,female,If ask I value life itd humor tasty food traveling people including 7years old son Wan na touch world,id,0,Marketing
Oral_Jay,46,Unemployed,divorced,male,Im guy enjoys music cooking nature,en,0,Unemployed
OriettaJimenez71,50,MAESTRA,separated,female,I AM A QUIET WOMAN WHO APPRECIATES THE LITTLE DETAILS OF LIFE HARDWORKING HONEST LOYAL AND Q VALUES LOYALTY SOY UNA MUJER TRANQUILA QUE APRECIA LOS PEQUEÑÑOS DETALLES DE LA VIDA TRABAJADORA HONESTA LEAL Y Q VALORA LA FIDELIDAD,sw,0,TEACHER
Orvil,47,Cook,single,male,Hello orvil Jamaica single honest truthful love music animals party beach enjoy cooking going walk friend please fell free ask want,nl,0,Cook
OscarBogantes,37,Driver,single,male,Very positive calm happy thoughtful beautiful intentions,no,0,Driver
oscarvaldivi,29,developer,single,male,I spirit traveler I like much cook explore new countries cultures Lover technology dogs,ca,0,developer
oterga5673,67,Trader,widowed,male,Hoping find chemistry feels natural start Im interested getting know someone kindhearted family oriented,pt,0,Trader
O_Wil123,47,Education,single,male,Im caring sensitive provider real expectations looking nice woman,en,0,Education
Pablo92,29,Repartidor,single,male,I sincere affectionate I interested woman desire live much love give,es,0,Delivery man
paloma9,25,Estudiante,single,female,Hi I girl Mexico I 23 years old although days I 24 I like dancing lot,es,0,Student
Paternitti1,33,construction,single,male,im 33 year old white male 5 foot 6 inches hight athleticly built brown hair hazel eyes enjoy hikeing camping hunting fishing four wheeling going long walks exploring well gaming I kindhearted earth,fr,0,construction
Patricia0034,58,sales,widowed,female,Feminine warmintelligent looking real gentleman A Woman looks Man join Her full happy life She need Him rescue Her,tl,0,sales
Patybelabrasil,43,Teacher,single,female,Well trying describe I say little bit complicated I try I graduated Languages Art Iam English Portuguese literature teacher I speak mother language portuguese english spanish also sign language I used work deaf kids For teacher honorable job I know I make difference someones life In reason I still studying english language dayI wan na become translator work interpreter Actually people used say I kindheart positive girl times I try seening best life regardless ircumstances situation I think always teach us positive lesson Of coruse I could tell I many flaws I know life worth struggle I look back I lost realize I much greater I like talking somebody behave drama King complain personal problems time please everybody problems try solving best way attempt learn deal live life best way lives short know future prepared one us Sometimes much selfish forget many people around world living worse situation starving homeless They begging little dignity live Well unfortunately I save world least think people stopping complain I earned life I also ejoying life keeping studying reading watching great movie listening 80s music ice skating animals nature go camping volunteer jobs talking sorts issues even politics even point view I like keep brain work time matter fact opinion Education key success life teachers make lasting impact lives students I Brazil I live since I 17 years I harder worker independent woman I already place already payed For website I straightforward I page I wan na practicing english skills also I believe someone kindheart humble waiting give opportunity know maybe become great friends work together I really would like clear something honest site I AM NOT page ask men pay bills send money rescue I live poor country I desperate move country get free easy best life A I already told Im selfsufficient woman I DO NOT NEED MAN TO PAY IT OR THAT FOR ME I get well I say I well world traveled I different places Europe many times also Ive lived Texas USA years I would like easy good life richer man believe I could already done I many opportunities I prefer believe older values mother taught best way get success life mainly love My grandfather always used tell honest first treat people way would like treated Well I think I said enough I hope could like profile I tryied much I could honest,de,0,Teacher
paul63,66,retired,single,male,normal fun loving guy hang ups dont like liars non demanding honest loving likes cuddle intimate chats,da,0,retired
paulbehr,37,Student,single,male,I moved Cheney Im 35 I would love relationship caring loving slightly humorous individual,de,0,Student
Paulxx1985,37,merchant,single,male,I looking person I could share everyday problems someone close even end world,en,0,merchant
Peabody899,32,Consultant,single,male,I love sports I love listen female vision,ca,0,Consultant
Pearson73,49,Carpenter,divorced,male,Im trying live everyday positive note hoping find special someone thats perspective outlook,nl,0,Carpenter
PenelopePitstop,58,Writer,divorced,female,British expat Lady seeking Older battle worn Knight Loves countryside horses farming cattle dinner parties gatherings friends family Opera concerts reading stories fire course candle light making love storm er inside cosy bed actually storm Born London educated South East asia europe due fathers work government Old school codes yet big sense humour fun Strong minded organised Been single 9 years due divorce taking care youngest son Ready last leg life amazing bright attractive strong old fashioned well heeled successful man willing relocate Currently South America finishing researchwriting project,de,0,Writer
PetieQ,63,Manager,single,female,I love nature hiking camping swimming Also walking bike riding exploring traveling I hobbies I enjoy sense humor like laugh easily amused lighthearted fun loving looking long term relationship build friendship new memories together Love sky rain stars storms I romantic heart honest real caring loving also want drama Looking real,tl,0,Manager
Pigdog,60,semiretired,single,male,Hello I single divorced 15 years white male minority Canada looking life mate I dont ask much happy person loves life doesnt blame personal problems This life live I dry sense humour loves laugh get thru days happy I try stay healthy butting getting old getting old I financially stable drama love travel I work part time golf course summer months used travel winters Chinese flu hit world Australia favourite destination enjoy exploring new countries Ireland one I would like visit family tree tied country Look forward hearing Tim,tr,0,semiretired
Pleasureufirst,35,Concrete finisher,single,male,Hello I never done online thing Sounds exciting naughty,en,0,Concrete finisher
pongopiacenza,44,managing director,single,male,hi Im northen Italy Im fell lucky simple totally addicted scoutig new pleasure talent l,tl,0,managing director
Poorgodzilla,48,Disabled,single,male,I sincere honest caring passionate courteous laidback faithful playful comedic loyal determined individual Self sufficient wheelchair bound someone need babying taken care like invalid Someone looking genuine love affection sincere attraction mutual marital intentions Im looking personality like mine Libra Horoscope speaking wanting meet quickly Ive spent much time searching forgive I come across desperate wanting waste much time getting know correspondence I prefer face face really getting know someone I believe learn faster get impressions feelings attraction indications Im one expect intimacy right away fact I find complicates reason dating find forever lover Im looking person knows well knows instantly first meeting future someone determine person meet standards Not someone could make train ideal mate Children welcome I would welcome someone wanting children I dont know possible based many variables Age ability factors Hoping married within six months year long many years left enjoy sharing someone Im old fashioned many ways,af,0,Disabled
portfolioman,66,Real Estate,widowed,male,Being widowed 30 years marriage I mostly looking drama Ive plenty drama life Id like things calm Mostly someone nice Mean people fun Someone things And hopefully something leads lasting connection I born raised Los Angeles raised kids New Jersey I go back forth frequently I real estate places,ro,0,Real Estate
PrepperDad,52,Business Owner,single,male,Im hardworking man strings attached single I consider fun going,de,0,Business Owner
prettylad,37,Office worker,single,female,Genuine positive attitude respectful familycentered strong faith God My family friends said I caring sweet integrity I enjoy serious conversation also fun I love adventures I love travel see beautiful places God created,en,0,Office worker
pri,31,nurse,single,female,I new beginning life I want meet positive people learn,ro,0,nurse
Pristress37,38,Nurse,single,female,I open minded explore I love fashion working hard,fr,0,Nurse
puntagorda,66,Retirado,divorced,male,Latino retired looking find interest lady meet Should good sence humor stamina open mind,pt,0,withdrawn
puppydog,63,Project Manager,separated,male,vegetarian From USA living Germany Communication sharing simple things,en,0,Project Manager
PurePassion,43,Financial advisor,single,male,100 pure pleasure passion like dream Well educated Well skilled,it,0,Financial advisor
rajsingh1972,50,businessman,single,male,amm caring loving man love humour makes priority love respect women,en,0,businessman
RalphNord,56,Security officer,divorced,male,Former engineer security I like science technology music internet Looking nice woman serious relationship,en,0,Security officer
ramesses2019,51,IT,single,male,want real Serious Long term relationshipSomeone I spend rest Life good trusting woman love trusting kind woman woman man,id,0,IT
RangerScott,60,Information Technology,separated,male,Love outdoors relaxing around house,en,0,Information Technology
Rawlev,51,Lawyer,divorced,male,I intelligent well traveled educated fun guy European descent,cy,0,Lawyer
Raymond1974,47,Salesman,separated,male,I sociable hardworking willing share journey someone special shares similar interests tastes,et,0,Salesman
rayne,61,Business owner,divorced,male,I degreed professional musician I play mostly studio I aid running 4 businesses shipping manufacturing promotions insurance adjusting industries I love believe family good conversation,en,0,Business owner
realdeal,43,Transportation,separated,male,Recently separated still hurting little Looking someone talk friends hopefully lead something amazing,en,0,Transportation
RedOakTree231,66,semiretired,divorced,male,Open Minded Honest Trustworthy,tr,0,semiretired
rejuv987,68,Legal,divorced,male,Single man looking match mirror except female It means like also full humor educated relaxed sincere desire share life travel,tl,0,Legal
Reykiavick01,32,freelancer,single,male,Im friendly good humor sense calm faithful mutual respectful realistic expectations life selflearner good workerwithout fear kind job I 7 yearsold dog named oreo I dont kids want future At point life looking nice lovely woman meet get love marriage strong girl fight side side challenge life win I give love total fidelity dadicate life make happy everyday,en,0,freelancer
rgr6275,47,Business,single,male,I single never married kids I well educated decent job like respect friends family I working one premium alcoholic beverages company take care export marketing If interested friends start grow older together hand hand I serious search life partner lead marriage I dont drink alcohol give good company friends drink alcohol,de,0,Business
rhona1973,49,unemployed,widowed,female,Loving caring earth honest spiritual,fr,0,unemployed
Rhoro,36,Housekeeper,single,female,Am shy firstsweetcaringkindself drivenstraight talkerrespectinglike cooking Gospel music n chilling park,af,0,Housekeeper
Rianwest,44,IT,in relationship,male,Pleasant fun full life sincere,id,0,IT
