username,age,occupation,status,gender,filtered sentence,y
 annaolson, 29, nursing, single,female,I consider romantic person Im fair easy going open minded afraid learning anything new I want waste even one minute I make best life offer Im looking love friendship I want find soul mate Someone gives peaceful comfortable fen hear voice hold arms Someone interested Someone hold hands walk road life,1
 annared78, 56, business, widowed,female,Hi dear I Anna Redmond Derby United Kingdom I loyal humble background loves meet people different cultures society I project like help country I want get back assist guide invest country since citizen Kindly write back email enable give details need I love know I looking forward read Cheers Anna,1
 anndd, 53, engineer, widowed,male,Im man good heart nature Im easy going kind understandable romantic good humor I enjoys simple things life I like good companion Im quiet also I love meet people open new things life love treat people way I wanted treated,1
 annehelen,30, student, single,female,I single White female early 30quots However I look younger Lol I fun outgoing I like homebody I searching real relationship I want man enjoys coming home lady I want man appreciate woman loyal committed A man understanding compassionate I honest person would like honest man I perfect I know arent perfect either However could perfect one another I cook I enjoy dining I like church occasionally cocktail I like making friends attending new events festivities arts galleries I enjoy reading alone mate I 5quot7 weight 115 Average built Attractive man eyes Ive heartbroken I dont want ever I wish I could meet man jump right relationship loving respecting one another making us happy feeling wanted I know long shot But long shot I left Ive decided doesnt work If I cant find man morals values respect women relationship share If one man tired games lies bull crap wants relationship solid strong,1
 annest89, 26, nanny, single,female,Hello name juanita Im seeking right man love real never break heart I hope I find one,1
 annet4me, 29, self-employed, single,female,cool young lady need good man love meet love tell later,1
 annetakissangela, 35, business, divorced,female,I kind nice girl looking long strong relationship Always come rescue anything refuse I like romantic men know take care beautiful lady always achieve goals I love pets especially cats In house I always clean comfortable,1
 annewilson029, 29, Fashion designer, single,female,Am simple easy going lady Im mentally stable physically fit bunch laughs warm caring honest good listeningand positive personMy goals dreams live good life maybe meet someone believes unconditional love Ive got great sense humor also I work hard know funIm easy person talk good listenerIm family oriented personMy hobbies readingcookingtraveling swimming,1
 anniesabas,27, nurse, single,female,gentle easy going person love meet serious faithful man interested handsome man contact mailanniesabastianhotmailcom,1
 Annika, 27, student, single,female,I plain cool well respected honest lady love cool gentle men nice principle,1
 annygeorge, 29, self employed, single,female,Am cool earth love fun lot want hook divorced widowlove reading clubbing lot,1
 Antarchris, 54, engineer, widowed,male,A man open ladies door pull chair gentleman I always A long road taken back dating Im looking someone WANTS find someone treats right A nice dinner good conversation lets see goes,1
 Anthony, 56, military, divorced,male,Am divorce nice caring understanding,1
 anthony111, 41, Contractor, divorced,male,single man searching honest respectful women want share time one caring understanding dating online,1
 Anthony49, 47, Medical Doctor, divorced,male,I open hearted goodnatured person I lot friends I like good communication I build life I consider happy person I like spending time outdoors near sea shore I consider optimistic ambitious outgoing warm I looking openmined easygoing person good sense humoram creative person I like everything brings joy creation makes feel emotional,1
 anthony789, 52, business, widowed,male,I Anthony good looking young manwell educated working one reputed company I like travelingmusic watching footballAm looking lovingcaringfaithful girl marriage long time relationshipI successful person comes work gods grace blessed daughter everything needall need special one life see rising sun,1
 anthony8890, 57, military, widowed,male,man great sense humouri love outdoors fun fishing camping dont get much thati work full time love job someone ready let go past start afreshshe caringloving supportive,1
 anthonyjohnson48, 48, soldier, widowed,male,Am honest need honest woman love I hate lies,1
 anthonyrenzo, 50, Engineering, divorced,male,Am Anthony LorenzoAm 50I like meeting new peoplesharing ideas fun loving manMost friend sometimes call Mr nice guymaybe cause playful cheerful attitude cultivated Am earth good sense humor LOVE God maker,1
 anthony_morgan70, 49, engineer, widowed,male,mr morgan Lima Perubut live USA marry 3 kids lovely wife die 4 years ago two boys 1 girls David Michealdaughters name Maria kids leave mom Peru David Micheal twine 14 daughter 16 like know Im Engineer conduct wiringplumbing wiring air conditioner installation repairs scaffolding installation maintenance industrial machines Boiler compressor,1
 antonalex,51, civil engineer, widowed,male,Im easy going man full life still young heartI love meet people discover beauty life natureI traveled many places seen different culture people came conclusion I make anywhereI romantic caringI everything like normal person I hardly get angry people I confident ready face challengesI presently single heart filled love hope meet personto start lovely happy family withI love peace anything prevent war,1
 antonie07, 71, self employed, divorced,male,I determined cheerful happy whatever situation I may find For learned greater part misery unhappiness determined circumstance disposition,1
 antoniomanan, 56, Independent Contractor, widowed,male,I real easy person talk good listener I love working playing golf reading news papers swimming like going beach walking watching football athletics go gym Im friendly open minded straight forward life loving caring person knows take good care woman especially giving sense belonging everything I life I quiet first I warm quickly communication important I love animals lots especially dogs cats,1
 argit, 52, manager, divorced,male,im goodgentlehonest trustworthy man seek goodcaringloving God fearing woman spend rest life,1
 arlene, 25, self employed, single,female,Im conversation person believe much communicationIm straight love cook hang care Traveling seem part hobbyTo cap im earth,1
 Armybeb, 33, military, single,female,My name Victoria 34 year old single children never married I affectionate caring honest trustworthy lady simple personality Im Virginia I work US Army currently deployed SyriaMy deployment ends soon joined site hoping find man meet deployment honestserious relationship relationship something never got chance enjoy devotion commitment work I really funny person loves people loves laugh always love make happy Speaking hobbies I enjoy swimming going walk music movies sports Im looking forward seeing new places meeting new people new things Im fighter Im arguing Life short I value friendship intimacy commitment I enjoy food movies walks quiet times I love nature enjoy learning deep respect love children I fascinated world different cultures would like learn I love life well animals still love share special man,1
 armymillme, 40, soldier, single,male,My name Miller soldier working American government couple years military man I man good sense humor man fear God I looking woman help build homefamily woman good potentials woman fear God woman respect husband willing ready respect darling wife I hope find perfect woman raise God fearing family withfor,1
 Arnett231,61, consultant, widowed,male,Most people say I easy going guy sometimes set ways I feel like I old enough know I like change open minded person extremely laid back Earth I like funI enjoy working around house whether inside could say Im handy love job makes life easierI work hard I want woman I share life love I like everything I think really dont care doI dont like dramaif attitude positive always fun I like eat healthy I love chicken wings China Buffet Italian dishes love I consulting Oil Spillage also hold degree Civil Engineering I like interesting conversation interesting people also love meeting new people around Globe I love people I also love space privacy I See Gods Work Everything Everyone try keep open mind meeting people,1
  Arnold Gomez, 53, –, –,male,simple cool waiting honest friendsbecause value waiting value lifetime If know wait life shall easy God knows give us right timeIts joy feel friends love embracing He whispers Keep going I special days every moment lifethose good friends,1
 arnoldo, 50, engineering, single,male,loving caring good looking man love traveling playing watching sport meeting people,1
 arontyler, 46, engineer, widowed,male,Hi every body new glad hoping find right woman ready spend rest Her life time good Honest looking person life,1
 arronbredon, 55, Civil Engineer, widowed,male,Im humblehonest personthat like like traveling shopping Reading Golf Music sports I like meet people real honest like help need,1
 arthurlogan15, 56, Administration, divorced,male,I honest good man I also kind caring generous I good manners respect,1
 ashley, 29, self employed, single,female,Im understanding person always support man everything sit neck go one side road direction On one hand Im positive optimistic person never get bored hand Im serious woman rely No lies games feelingsbut love care supportthis feel So lets keep love heart A life without like sunless garden flowers dead Im searching ordinary man I feel happy create strong family two people support care I love something gave I give love existence life Unconditional love What better love person know mutual Of course nothing replace us big gift life I want find save never lose I think ideal people excellent character I want find man share everythingnot good also bad together moment happiness moment desperate I really want love heart reason lets try find happiness enjoy life full love,1
 ashley02, 39, Engineer, divorced,female,nice Caring woman great sense humor Loves traveling cooking Family oriented Hoping meet special Man treat like Queen treat like King My Best friend Good listener,1
 ashleyjessie, 26, hairstylist, single,female,cool lovely girl love travelling reading journals,1
 Ashyln005, 28, military, single,female,I single definitely kid My personality different women youve met especially country women Well I dont wan na judge coz different culture I respect culture Ive grown decent woman I hate man rude characteristic,1
 asrah6353, 54, Architect, widowed,male,A simple man humble cool nice loving caring allot affection passionate Friendly sense humour business savvy confident honest worldly intelligent gentleman I really enjoy business discussing industry since I find interrelated similar infrastructures I entrepreneur I innovation development design finance marketing accounting investing real estate etc almost everything needed small business Politically I republican believe many liberal views freedoms I believe economic freedom almost anything upholds freedom smaller government,1
 astoulove4u, 24, student, single,female,I unique person many reasonsIn going find man blessed abundance passion give ones I share heart soul For really know experience,1
 Aubert65, 56, self employed, divorced,male,I lucky man live life meaning purpose deliberately mine I want share I someone equal My value human found intelligence sense humor ability love make around happy better I long experiences stuff I think friends would say I independent honest creative loyal fun,1
 aubrey, 32, self employed, single,female,I supportive caring loyal tolerant characters humble honest understanding truthful,1
 Audrey51, 51, Engineering, widowed,male,Im straight forward honest fault easy get along Im funny strong I need soft hearted time I great sense humor definite romantic side love kiss hold hands I especially like sharebig things little things everythingmost things better sharedAgda 8yrs old leaving alone together ever since wife died Im emotionally balanced stable I lot teachbut lot learnI believe day stop learning day die I lot give emotionallybut yearn find someone give much returnI may able leap tall buildings single bound Im faster speeding bullet Im powerful locomotivebut I cook Im pretty darn handy fixing thingsIm looking someone realizes essence good relationship starts like ever love If two people cant friends develop something moreIm gentle heart man Im looking someone realizes gentle heart man chivalrous synonymous chauvinist,1
 aussiequeen, 30, nurse, single,female,describe kind sincere spiritual person Of course good bad features character anyone else always work trying improve inner growth find future life partner soulmate best friend man dream one person looking serious relationship would lead something beautiful significant life,1
 Austin23, 36, construction engineer, single,male,Am Austin simple fun,1
 austinemiller, 45, –, –,male,I normal english man looking lovely lady love travel many different countries like go fishing boat jump pool warm day drive fast cars Am cool funnyi hack neccesaryi hate braggingAm goodbut quieti love smart people right thingSo thats,1
 authur, 53, contractor, widowed,male,In truth whatever I write nothing window I really For full disclosure I suggest enter world learn interaction With I anxiously await arrival Regarding basics I believe handsome pretty boy intelligent nerd ambitious overzealous sensitive sissy affectionate clingy serious I need fun makes life fuller In short Im super sensual powerfully passionate natural romanticist tends great communicator great sense humour Im deep thinker even deeper feeler appeals let brotha know Its Note I ask respect I seek friendship I also reserve right deny friendship without need extend cause justification No offence simply guy,1
 avis1, 57, army, widowed,male,new looking right woman send email address tell self ok,1
 avriel05, 33, amry, single,female,I emotionally stable kindhearted accurate good sense humor I positive attitude life I value life try spend every minute happily I easily adapt new situations people I flexible relationship understanding I always try quotthe shoes peoplequot judge understanding actions find I gentle,1
 awesomelove1967, 45, –, –,male,Im Declan This blotch Put blog Confirio together whadaya getIve blotching Youre like Hmmmm I bet MrConfirio envisioned created site A virtual village boy writes love dating girls couple things like breastfeeding gaydancingI havent updated blotch oodles days Blame start school Blame rain Hey youve got blame something Ive learned lot Ive learned girls like make demands Make laugh Sweep feet Take breath away Teach Dougie eerabuddy Dougie Btw dougiedude hates skinny jeans burner keep rubbin Or favorite Confiriogirl demand Make forget ex separated yesterday Im kidding Im kidding first three What I looking relationship WOW Thats loaded question First person would honest loyal trustworthy attractive inside Im seeking special person recognizes someone something special awareness minimum say Thank someone whos Team player someone I talk anything dont worry judged I perfect means I dont expect person either There one Perfect Man rest us Work Progress Im looking relationship lady someone makes us stronger individuals partners Scared yet I love Country music songs give person great way express Check Randy Howsers latest release titled In Gods Time youll see I mean There many many Id like share special someone,1
 awesomeprince, 46, doctor, widowed,male,loving caring hard working faithful committed tender love cooking swimming reading dancing,1
 awhy101, 50, –, widower,male,I describe Articulate Attractive I kind fun loyal I positive outlook life I visions great success failure option I enjoy traveling fine dining well cooking home My favorite tv show DrHouse What sets apart rest charming enthusiastic personality I especially enjoy company highly intelligent lady I appreciate woman honest believes mentoring willing give critique well corrective criticism My ideal match would enjoy travelling work fine dining cooking Meaningful conversation dinner important Wouldnt agree,1
 ayilove, 25, teacher, widowed,female,ayi name 30 looking soul mate add hangout ready ayilove0gmailcom,1
 babanee, 55, architect, widowed,male,simple man likes simple things lifei love take step timei devoted man goal iswhat worth worth welli caringloving romantici good cook love help kitchen,1
 babu, 40, business, single,female,My name Mrs Ali looking nice ManMy name Mrs Ali looking nice ManMy name Mrs Ali looking nice Man precious one please want look profile dont annoyed whoever u please dont like 2 expose self lord say ami head tail low giving 2 nation 2 borrow almighty God said thanks love wonderful day,1
 baby143, 25, modelling, single,female,I flattered attention I pleased I interested I consider like attractive woman Beautiful appearance main weapon woman I like give little time appearance Also I believe maintain conversation skill improving skill I keep health I bad habits I think girl educated lady say obscene words I think interesting observe world people meet way interesting unexpected life,1
 Bailsein,55, –, single,male,I fun loving person enjoys life loves laugh works plays hard For life enjoying moments friends family positive energy great attitude I goodplace professional life looking find similarly motivated dynamic balanced woman People tell I crazy fun women find attractive slightly glamorous intellectually stimulating high energy soul,1
 Baleme, 46, military, –,male,Im Luis Baleme Engineer USA ArmyI basically positive person also loves humor laughter would like someone adventurous spirit positive attitude I need someone see funny side life someone open willing learn new things,1
 Ballantine, 41, military, widowed,male,Am cool easy going,1
 Balusha, 28, self employed, single,female,Im easy get along I love laugh fun I passionate secure I I respect people want respected I love showered attention I love going dancing enjoying person I withIm openhearted girl likes take everything life offer give return well I active enthusiastic I cheerful I treat people I want treat I attentive caring I need love loved bring future man happiness joy I dont like sit one place I dreaming strong friendly family I ready serious relationship I ready start man knows make woman happy,1
 bandelldora, 29, clerk, single,female,Im Native American woman Honesty Integrity constant life I like Real people I live life trying best person I possibly Im passionate compassionate loving woman Learning growing important spiritually evolving I go Love God I leave life handsFamily invaluable Open minded I accept people I love great sense humor Im attracted man word A strong God fearing man great morals strong demeanor Generous time money I love pampered treated like queen I love flowers dinning I love going movies staying cozy evening Im hopeless romantic seeking man I grow old withI found statement online I think profound It embraces core persona belief systemId rather dislike I like Im,1
 bannerk, 44, businessman, widowed,male,I Honest Mancaring earth I love every good things life plus finding best relationship I love everything co make life worth livingI hard working Live independently,1
 bantyphage, 32, chef, single,female,I passionate everything life halfway Once I decide get involved someone something I jump feet get fully engaged Family friends follow closely behind theres things I fun snow skiing mountain biking racing great food Im looking someone smart funloving focused important things life I also enjoy quiet evening good meal bottle wine dining friends working watching movies watching sports Im looking someone shares passion conversation time together whether quiet evening home dinner friends attending football game I believe chivalry still place society saying doesnt make sexist sexiest thing woman brain course nice smile important,1
 Barbiebee, 28, self employed, single,female,Am blunt free person earth friendly love swimming nature reading traveling Am ambitious person responsible true love honest people trust worthy understanding searching someone share laughter tell happy tales together Be real true,1
 barbra, 24, student, single,female,feel alone face live need honest person consul time love much take good care treat like father use alive really suffered much I need man treat like little baby I love Barbra,1
 barleyweather, 45, military, single,male,Am easy going someone love hang go beach fun lot Single never marriedIm fun loving person I love smile always make people smile simple arrogant respects womans feelings I dont trample I understanding person dont look people Im absolutely simple man dimension want go I love going beach theaters concerts love play pool I swim pools go camping sometimes maybe picnic gentle walk parks I love kissing Im romantic I dont cheat I hate games lying I dont ever like hurt woman I hate lied,1
 Barnett, 48, military, divorced,male,I simple easy going person I dont look trouble,1
 barry2017, 57, doctor, single,male,caring loving person love helping others needs,1
 Barry506, 46, engineering, widowed,male,honest man love things personal way honest man looking lovely n nice woman woman good heart,1
 Barrylynn, 49, marketing, widowed,male,My name Lynn Barry I VP Marketing chevron Concept Management International Tours,1
 Barrywilliam, 53, Engineering, widowed,male,I simple easy going person positive optimistic transparency,1
 Bashanjennifer, 26, student, single,female,name Jennifer single easy going searching loving caring honest passionate affectionate man also fear God Im really looking relationship I want friends nowI calm romanticPromise devoted wife caring mother Would like create strong friendly familyI looking someone smart loyal honest caring understands melooking someone hang see takes us,1
 Batie, 36, Self Employed, single,female,I love eat healthy exercise regularly My health comes first Having great health enables live love contribute grow experience lifes blessings meant experienced,1
 bauer, 49, –, single,male,I hate lies I hate dirty people I dont like loquacious woman I also dont like greediness cos I believe giving u give u take natural law creationI cool minded person I love straight forward activities peopleinfact reason folks like cos policy simple I believe Greatness Lies In Simplicity u dont u think,1
 bauer1112, 60, self employed, widowed,male,Good day thanks stopping profileCan honest Can complement complicate I enjoy life fullest try fun matter Im Always looking bright side Summer I spend lot time water Love camp fires games bowling darts pool I enjoy travel photography movies beach picnicks theater golf horse riding good conversation love laughI cookcleando laundry real man looking real woman thing doors NASCAR watching going races concerts street fairs Week end get always boat van gas gone real destination Exploring Im nice guy Im kind thoughtful considerate easy going enjoy helping others happy never get angry I take everything stride easy going hard anger kind honest giving polite LOYALand always give thanks Someone count I enjoy showing affection woman Flowers reason smile Opening doors holding chair helping coat go market herwarm bath towel dryer herspread rose petals bedroomShower together candlelight wake prepare morning coffee getting bedFix hot cup Raspberry Chocolate cuddle warm afghan watch affairtell much honestly feel herit works every time Remember give morning kissing things spoil sunset together surprise everydaylike bringing home one small unexpected gift weekSurprise crystal vase full flowersput new piece jewelry jewelry box wait notice Yes I jobi self employed contractor What I special woman enjoy life,1
 bearsexyme, 29, Business, single,female,I compassionate loving kind generous enjoy simple things life I enjoy holding hands sometimes touch someone means something nice Im affectionate love laugh sense humor I like dining dancing movies shows especially classic rock blue bands spending time river bicycling gardening camping I Im quiet type gregarious type wont talk ear enjoy good conversations,1
 beaslypaul, 49, military, divorced,male,I enjoy variety things I 49 years old sports fan man Utah I brown eyes black hair body athletic I live alone I children sometimes live home Im single white caucasian I like funny woman Im looking hetero single clever girl likes athletic man Come,1
 beatrice0147, 29, stylist, single,female,easy going person heart love honest caring lady want best self people around,1
 beautifulehiz, 32, artist, single,female,Am Helen name easy going good heart love swimmingcooking going beah summer time I look forward meet nice man ready start new relationship forget past,1
 beauty47, 30, Real Estate, single,female,I kind considerate warm hearted friendly honest sincere dont sweat small stuff gal My life partner must best friend someone I laugh love cry That accept think change later Would nice find someone similar interests,1
 beca101, 28, self-employed, single,female,caring homely earth,1
 becca, 30, nurse, single,female,I patientgenerous kind loving I always upbeat positive attitude things I like fun I enjoy music theater movies art I love travel go sightseeing I love romantic dinners seaside resorts sunsetsI fun loving person loves laugh make others laugh I always try enjoy simple things lifeand take anything granted,1
 becky2k, 18, student, single,female,Am nice good looking girl love meet new people world,1
 bekky, 27, nurse, single,female,im straight forward honest brazen times careful ask get honest truth So cant handle heat get kitchenLOL On lighter noteIm loving attentive caring huge heartyou need get hard exterior,1
 bel11, 45, –, –,male,interesting man much heart sharecaring god fearing affectionate care much kidsno matter much say myselfi man little word much actioni love taking long walk someone special kids dear,1
 Belindaket, 46, Fashion Designer, single,female,Im loving caring woman knows adore make man happy physical emotional,1
 benedicta, 25, student, single,female,I Benedicta Germany I looking serious husband,1
 benhodges, 50, Petroleum Engineer, single,male,Ben Hodges US work Ghana oil gas companyam looking serious woman,1
 benigalam, 43, business man, widowed,male,friendly caring death wife I felt bad really need make get well lovingcaring romantic,1
 benja02, 55, Civil Engineer, widowed,male,I happy enjoy life Im genuine see getI wear heart sleevenot playing games You know exactly stand No use beating around bush I believe noone perfect I love affection attentionand surprisesI giver taker enjoy making partner happy content always try go extra mile keep relationship exciting surprising fun romanticI love good laugh whether something else Im honestand respect others I believe treating others would want treated,1
 BenJas2000,46, military, widowed,male,OK seems little weird talking goes Im earth man yet sometimes complicated I love talk love laugh Im always adventure More come Im definitely thinker Please feel free ask questions I finish auto biography,1
 benkay2010, 44, –, –,male,like play golf love horses worked race horses years easy going try hard judge others one never knows may deal life love walking hand hand special person life feeling two one traveled states loved loved people feel free ask anything pls,1
 benoni, 32, nurse, single,female,My friends described outgoing shy fun around always wearing smile I feel age number always try keep appearance young looking staying active I enjoy long walks dining right person listening good music Dancing singing playing piano viewing beautiful artwork working hands interest I love spending time outside especially fall I told I ball fire full energy I love getting dressed going enjoy special nights listening music snuggled blanket curled sofa I would like meet loyal companion similar interests could enjoy things together He would feel comfortable around family friends enjoy outdoors holding hands strong love loyalty family faith friends I looking someone outgoing honest warm compassionate open feelings There much I would like share I would rather save one special guy really wants get know I experience couple dates sites unfortunately got hurt So I giving one shot I throw computer trash Thankyou reading profile I look forward meeting someday,1
 benson24, 53, Civil Engineer, divorced,male,I patient man respectful needs wants people I supportive others even I really want Im always willing help I consider friends I enjoy helping friends reach goals I loyal around especially involves personal relationships Sometimes others fewer principles tend take advantage easygoing complacent personality Im inclined avoid sudden decisions preferring think things first I like gather facts think things offering strong opinion I tend dislike sudden abrupt changes I prefer things way If broken dont fix Im hopeless romantic,1
 benson31,68, self-employed, widowed,male,Full life action I vibrant personalityGood sense humor sincere trustworthy loyal caring loving understanding sensitive romantic wow mouth full true I take pride appearance believe treating people way I would like treated I spontaneous thoughtful enjoy things life always willing try new things Like keep fit healthy Gym Bush walks Mountain Biking Trail riding cause beach doors type room quite nights candle lite dinners nice music glass wine conversation BBQ cold beer good companyI retired could away home sometimes jewelry store settling find right woman Like meet woman takes pride feels comfortable pair jeans shorts tee shirt gown heels mostly inner character person Im sincere search playing games I enjoy company quite happy thing well sharing moments I seeking looking true love womanI seeking looking serious honest relationshipI looking soul mate lover wife true friend one spend rest life,1
 Bensweetman, 48, Petroleum Engineer, single,male,cool man honest typei dont cheat play gamesi type man knows looking serious typei like open book easy goingi love make sure person beside always happy caringemotional romantic,1
 berk, 50, engineer, single,male,Im easy going uncomplicated happy life I man My sense humor little different If like laughwere going get along fine I love beach swimming ocean moon stars meals meals good music movies dogs golfing fishing adore company intelligent funny fun witty engaging woman Bottom lineIm looking something unique someone unique I believe three things strongly 1 Life short Be happy 2 Laugh often possible Its good heart mind soul 3 If say somethingdo If dont mean itdont say Things important honesty trust respect communication kissing I think kissing reveals someones true passion soul,1
 BernardBenesh, 49, army, widowed,male,I cherish friendships consider loyal friend I love types arts amp crafts projects I prefer cooler temperatures hot Honesty trust care love means lot I hate liars I shy outgoing timid strong loner loves around people It depends I familiar comfortable I,1
 bernice231, 28, service, single,female,I tender romantic woman I wish admit I woman knows exactly needs life doesnt want loose time vain I like care people close I lot love heart I want give someone,1
 Beronica22, 31, cashier, single,female,Im basically positive person loves humor laughter would love someone adventurous spirit positive attitude,1
 bertha, 32, self employed, single,female,Am honestloving caring understanding woman need man take home think best among women caring demanding,1
 bestlover994, 46, military, widowed,male,I caringhumblefaithfultruthfulloyal respectful man I love meet kind person,1
 bestmohd, 46, Self Employed, single,male,More I single Im 511quotam mentally stable physically fit bunch laughs warm caring honest good listeningand mostly God Fearing positive personI real easy person talk good listener I love play golf I like going movies watching movies room I like swimming listening music dance kind music traveling going bowling also good cookI family oriented person ifThere would better find things Am looking woman able listen communicate feelings make laugh hold comfort needstand respect,1
 Beth78, 28, nanny, single,female,Let introduce firstI outgoing person also understanding loving caring I spare time I like reading listening music watching movies sports How Have ever taste VN food Do like If like hope cook one dayI really hope would like letter sent If also interested,1
 bhardest555, 34, marketing, single,female,Im woman doesnt live fairytale prince white horse come take heart No Im searching ordinary man I feel happy create strong family two people support care I love something gave I give love existence life,1
 Bigbest1967, 47, engineer, single,male,Im easy going mani love care partnerunderstandinghumbleGod fearingi love live simple lifeopen minded flexible situationI love smile keep going I seeking loving caring understanding truthful woman knows want man,1
 bigdavesnr, 43, military, –,male,Im earth kind person I love making impact life people around Devote time attention womans feelings needs I aint looking perfect woman soul mate Someone love ready stay forever,1
 bigheart33, 50, Engineer, divorced,male,Basically I love life I love living life I enjoy outdoors traveling restaurants laughing going cultural events socializing quality people Its better living sharing life someone else,1
 biglove11, 36, cashier, single,female,Im cheerful sociable girl dreams find good man Im family oriented Im sociable lot friends Im kind tolerant I always try understand people difficult situation cause Im sensitive someones pain I want find second part create happy family,1
 big_me, 49, Self-employed, Widowed,male,I intelligent attractiveand professional American man lives life fullest passionate Man deep thinker I feel things deeply I always thinking something I dream lot I intense sensualMy heart already free I love kiss I spontaneous I animalistic chemistry I meet someone wellI like laugh enjoy life I love outdoorsI love adventure trying new things I open type activity I dont mind get hands dirty necessaryI love romance eye contact I playful love give receive affection constantly I real person looking forward meet real woman I dont like Women lie use hurt people I hate stood broken promises If stay away meI dont want one memorable night I want endless memorable nights someone TRULY SPECTACULAR I outgoing easy talk I always make people feel comfortable around meI honest man lot intense passionate love give right person give meI creative personal life business I love music I write song lyrics poetry I love live music Words deep meaning touch turns Rock Roll rules heart nothing like rock roll song sexy beat I like slow sensual music wellI looking connection right woman really sweet loving heart full passion knows treat man rightwho respectful knows love trulymadlypassionately deeplyIf get interested way drop line phone number email address could reach directlyHope hear soon,1
 Bill Carson, 49, –, widowed,male,Im genuinely seeking serious loving relationship may possibly even lead marriage lovingromantic affectionate man willing love loved spoil pamper much interests include sportsmoviesmusictravellingromantic night outscandlelit dinnerswalks along beachreadingsocialising friendsmeeting new peoplecampingweekends awayout door activitiesnaturephotography quiet nights home watching movie man dreamsI also enjoy kissingcuddling sensual massages,1
 bill12221, 61, engineer, widowed,male,good looking gentle man would say also God fearing man common sense humor caring loving affectionate romantic,1
 Bill505, 53, construction, divorced,male,I michalis Greece living working engineerindependent contractor AustinTX Im easygoing nonmaterialistic lowmaintenance athletic cheerful stable I enjoy trying new things seeing new places people watching festivals concerts country dancing road trips hiking horseback trail rides gardening love cook laughing enjoying life day day I family oriented I like stay home someone special lifeI gentle easy going guyi hard workingi honest vowed always honesti faithfuli like people liesand hate lie tooi hate people pretends I looking friend companion share life Life short spend alone She must honest trustworthy loyal I looking someone friend first companion best friend I looking someone serious relationship playing head heart games Someone caring feeling treat way want treated,1
 bill879, 48, Telecommunications, widowed,male,confident smart kind elegant sociable sensitive gentle cheerful romantic responsible serious confident calm purposeful persistent smart responsible honest modest kind loyal flexible elegant sociable communicative sensitive gentle cheerful optimistic romantic considered I one Bill Junior Son 4months old,1
 billedee, 52, contractor, divorced,male,AM BILL ERDEEN BY NAME AND A SINGLE DAD WHO IS IN SEARCH OF THAT SPECIAL LADY TO MY HEART AM ERR JUST BE WITH THE WOMAN OF MY DREAMS AND I KNOW IT MIGHT BE YOU OUT THERE BE FREE TO TEXT ME IF YOU LIKE ME BT MUST BE 40 ABOVE MUST BE WHITE ONLY,1
 billhoward123, 46, –, –,male,Simple loving caring seeking perfect woman,1
 billmax, 43, engineer, widowed,male,I call Ladies manBefore get ideasIn Contest means That like around meWhich I think make feel comfortableJust like anyone I like finer things lifeMy friends tell Im funny occasionintelligent laid backand confidentI like good intellectual conversation Other times I love joke aroundI think laughter healthyI love watch comedy showsIm good listener I like compromise talk things OverallIm easy going I love cultures women Sometimes I think women rulers earthI work hard I love laugh good timeI take pride way I look I stay shapeI love outdoorsseeing live music shows dining intelligent conversation animals good bottle wine seeing great movieI happy healthyfunnyvery romantic single live aloneI love animals completely drug disease freeI well established carrier goal orientedand financially secure job I enjoy,1
 billy481, 51, engineer, divorced,male,Nothing mucham brian fordbritish americanborn october 7th 1960got daughte r name lindabeen divorce 3yrsam easy goingdown earthwith good sense humourwe talk later Am engineerself employed nowthough I like jobusually lots deskgot fed sometimes cos makes travel lotthinking settling I time familyI serious comes workbut I hate daughterpromise come,1
 billys, 50, self employed, widowed,male,cool headed gentle manhumble always selfi enjoy best fullest cos tomorrow promise,1
 bintafayen, 23, student, single,female,I want honest person love contact bintafayenhotmailcom,1
 bistrow991, 35, army, single,male,bistrow solomon easy goinghonest caring understanding man likes dance cookgo enjoy outdoors hikingwalk parks insect hunting,1
 Bitch202, 51, Engineer, widowed,male,I easy going gentleman knows treat woman right loving caring earth understanding I want find better half share rest life partner till end,1
 Bjusttaxfl057, 57, self employed, widowed,male,I easy going gentleman knows treat woman right loving caring earth understanding I want find better half share rest life partner till end,1
 blarry232, 47, military, widowed,male,Im honest caring God fearing person I love go beach play tennis spend quality time love Im romantic well,1
 blessingcotty,36, banker, divorced,female,cool easy going caring gentle lady straight easy going person loves meeting people travelling working like making friends learn teach good values life,1
 Blessmelord, 50, military, divorced,male,I enjoy variety things I 50 years old sports fan man Connecticut I hazel eyes blonde hair body average I live alone I children live away home Im looking one night stand fling anything like,1
 blondutza,28, Primary school teacher, single,female,good onest woman friendly great sence humor happy optimist romantic loving caring,1
 bloomg6,52, engineer, widowed,male,well name George im one kind simple honest life I really appreciate warmth genuine caring love peace I enjoy rhapsodic melodies flow harmony send waves pleasure mind I adore infectious laughter brightens world invigorates soulI passionately appreciate uninhibited writing explores emotions stimulates thoughts I heart express true love trust My wish good pleasant long term relationship The important thing faithfulness respect Nice time friends well time alone balance reflection finding new experiences still searching one share I kind loving person looking someone willing let loves I I much offer someone willing take leap faith I consider loyal honest looking someone shares values I enjoy seeing new things experiencing life I also enjoy relaxing someone special,1
 BlueDiamond, 50, medical doctor, divorced,male,Im sincere friendly outgoing honest I like meet serious minded woman,1
